time,city,state,shape,duration,summary,posted,lat,lon
09/28/2008 00:55,Montebello,CA,Rectangle,1 minute,there was a huge rectangular object vertically on top of East Los angeles,10/31/2008,45.6519493,-74.9408715
09/27/2008 04:48,Playa del Rey,CA,Flash,15 min,Fire alarm went off then Strobing light filled the sky,10/31/2008,33.9564194,-118.4422317
09/26/2008 13:52,Martinez,CA,Oval,7 mins.,"Bubble Shaped Object Spotted in Martinez,CA",10/31/2008,38.0193657,-122.1341321
09/25/2008 21:45,Fremont,CA,Changing,3 min.,GHOST-LIKE BLOB W/ 4 ROUND GHOST-LIKE BALLS INSIDE&IT WAS CHANGING SHAPES SLOWLY,10/31/2008,37.5482697,-121.9885719
09/24/2008 23:00,Temecula,CA,Triangle,1 hour,"Brightly lit object about the size and brightness of a planet in the night sky, made several movements in multiple directions.",10/31/2008,33.4936391,-117.1483648
09/24/2008 22:00,San Jacinto,CA,Light,Approx. 10 Seconds,"Red light In San Jacinto, CA.",12/12/2009,33.7839084,-116.958635
09/23/2008 02:20,South San Francisco,CA,Unknown,5 minutes,"2:30am, a very loud rumbling noise overhead,  strange musical sounds, and greenish image projected on wall.",10/31/2008,37.654656,-122.4077498
09/23/2008 00:15,San Francisco,CA,Triangle,25 Seconds,Triangular formation of dim lights spotted moving smoothly across San Francisco night sky.,10/31/2008,37.7749295,-122.4194155
09/22/2008 21:30,Sacramento,CA,Light,45 seconds,Flashinng light in the sky not consistent with terrestial aircraft.,10/31/2008,38.5815719,-121.4943996
09/21/2008 18:00,Los Angeles,CA,Sphere,2 Seconds,Strange Object seen during Los Angles Airport (LAX) Approach...,10/31/2008,34.0522342,-118.2436849
09/21/2008 14:36,Fortuna,CA,Oval,1 second,"When reviewing pictures taken at a civil war re-enactment in Fortuna, CA on September 21, 2008, I noticed an oval/circular object in th",10/31/2008,40.5981867,-124.1572756
09/21/2008 03:15,San Fernando,CA,Sphere,45min,Dividing object over San Fernando 9/21/08 followed by two jets...,10/31/2008,36.4718646,-6.1965948
09/20/2008 22:00,Salinas,CA,Sphere,1 minute,Two faint orange objects moving in sky over Salinas,10/31/2008,36.6777372,-121.6555013
09/20/2008 21:15,Capistrano Beach,CA,Cigar,15 minutes,Rotating tall objects sighted over South Orange County Southern California with no sound.,10/31/2008,33.463611,-117.678333
09/20/2008 21:00,San Clemente,CA,Changing,10 mins +,"White/Blue Rectangular object over Orange County CA changed shape, searchlight pointed at object.",10/31/2008,33.4269728,-117.6119925
09/20/2008 15:15,San Francisco,CA,Circle,20 Minutes,"15 small white orbs drifting high in formation west Over SF, CA City Hall 9-20-08",10/31/2008,37.7749295,-122.4194155
09/19/2008 23:40,San Luis Obispo,CA,Changing,6 minutes,"a star that turned 10 times its size, got dim again, and then black, over and over , moving by perfumo canyon",10/31/2008,35.2827524,-120.6596156
09/19/2008 23:20,Acton or Palmdale,CA,Triangle,still out there,Bright object  released 3 Red Triangle Shapes  and they are now hovering,10/31/2008,34.5794343,-118.1164613
09/19/2008 21:50,Cathedral City,CA,Light,About 5 seconds,I witnessed a tiny dot of light move across the sky laterally at a VERY high rate of speed.,10/31/2008,33.7805388,-116.4668036
09/19/2008 21:10,Oxnard,CA,Circle,1 min.30 sec,red circle in the skys of oxnard,10/31/2008,34.1975048,-119.1770516
09/19/2008 11:15,Los Angeles,CA,Fireball,15 seconds,Two fireballs shot across the sky towards downtown los angeles,10/31/2008,34.0522342,-118.2436849
09/18/2008 03:00,San Diego,CA,Triangle,roughly an hour,I saw five crafts in the sky.,10/31/2008,32.715738,-117.1610838
09/17/2008 20:00,Riverside,CA,Egg,20 SECONDS,Slow moving black egg shaped object hovering down from sky,10/31/2008,33.9533487,-117.3961564
09/17/2008 04:00,Riverside,CA,Other,12 seconds,"Fluorescent white wing like ship traveling north west, slow, no sound, over roof of house at 4am.",10/31/2008,33.9533487,-117.3961564
09/16/2008 18:30,Los Angeles (150-200 mi. e or ne of),CA,Sphere,2-3 sec.,Small metallic copper object 1-2 mi. above ground traveling w/sw-e/ne (viewed from L.A.-bound 757),10/31/2008,32.0636573,34.8581943
09/14/2008 21:50,San Juan Capistrano,CA,Circle,5 miniutes,"Rapid moving white light seen flying beneath full moon, 9-14-2008, from San Juan Capistrano, Orange County, CA",10/31/2008,33.5016932,-117.6625509
09/14/2008 16:49,Hemet,CA,Unknown,1 minute,"UFO spotted over Hemet, CA around 8:49pm Sep. 14, 2008",10/31/2008,33.7475203,-116.9719684
09/14/2008 10:40,Pleasant Hill,CA,Disk,15 seconds,"Flying objects over Pleasant Hill, CA  09/14/2008",10/31/2008,37.9479786,-122.0607963
09/14/2008 08:45,Interstate 5 (10 miles south of Rte. 165),CA,Triangle,5 min,"I5 09/14/08 Three lights low to the freeway, went into a field",10/31/2008,34.1593551,-78.8508301
09/13/2008 23:35,Manhattan Beach,CA,Triangle,30,"Circular pattern lights over Manhattan Beach, CA",10/31/2008,33.8847361,-118.4109089
09/13/2008 17:45,Rancho Cucamonga,CA,Diamond,1 minute,Rancho Cucamonga Daytime Diamond Shaped Object,10/31/2008,34.1063989,-117.5931084
09/13/2008 00:00,Hermosa Brach,CA,Disk,30 minutes,2 UFOs - both caught on tape.,10/31/2008,33.8622366,-118.3995194
09/12/2008 23:00,San Diego,CA,Fireball,3 Minutes,3 orange glowing balls above san diego.  sighted in pacific beach at around 11 pm.  they moved north and then straight up,10/31/2008,32.715738,-117.1610838
09/12/2008 21:25,Mather,CA,Oval,15-20 seconds,"a glowing craft appeared over our house and hovered, vibrated and zipped around slighty and disappeared in an instant",10/31/2008,39.9346512,-80.0737393
